Date,MGLU3.SA,HAPV3.SA,PETR4.SA,B3SA3.SA,CIEL3.SA,VALE3.SA,BBDC4.SA,AZUL4.SA,MRVE3.SA,EQTL3.SA,ASAI3.SA,LREN3.SA,RRRP3.SA,ITSA4.SA,SOMA3.SA,CMIG4.SA,ALOS3.SA,ITUB4.SA,CRFB3.SA,ENEV3.SA,CPLE6.SA,ABEV3.SA,PRIO3.SA,NTCO3.SA,BBAS3.SA,PETR3.SA,BRFS3.SA,RAIL3.SA,GGBR4.SA,UGPA3.SA,CSAN3.SA,CCRO3.SA,VBBR3.SA,RENT3.SA,EMBR3.SA,RDOR3.SA,CYRE3.SA,WEGE3.SA,BBSE3.SA,ELET3.SA,RADL3.SA,SUZB3.SA,VIVA3.SA,ARZZ3.SA,CPFE3.SA,VIVT3.SA,SBSP3.SA
2020-01-02,12.332500457763672,13.288000106811523,30.700000762939453,15.036665916442871,8.569999694824219,54.33000183105469,28.18181800842285,58.79999923706055,22.200000762939453,23.549999237060547,,57.04512023925781,,11.782777786254883,,9.197671890258789,,38.029998779296875,23.93000030517578,10.96500015258789,6.868000030517578,19.200000762939453,7.156000137329102,38.33000183105469,53.79999923706055,32.79999923706055,35.880001068115234,26.399999618530273,19.771427154541016,25.600000381469727,17.927499771118164,19.0,30.739999771118164,49.619998931884766,20.200000762939453,,31.110000610351562,17.6200008392334,38.099998474121094,38.18000030517578,22.082691192626953,40.790000915527344,29.18000030517578,63.90999984741211,35.209999084472656,48.2400016784668,60.54999923706055
2020-01-03,12.22249984741211,13.850000381469727,30.450000762939453,14.603333473205566,8.460000038146973,53.93000030517578,28.18181800842285,56.7599983215332,22.200000762939453,23.270000457763672,,56.648284912109375,,11.610346794128418,,9.098274230957031,,37.630001068115234,24.549999237060547,11.067500114440918,6.86299991607666,18.93000030517578,7.570000171661377,41.0,53.709999084472656,31.989999771118164,35.939998626708984,25.6299991607666,19.44761848449707,25.299999237060547,18.274999618530273,18.790000915527344,30.559999465942383,48.900001525878906,20.40999984741211,,32.79999923706055,17.395000457763672,37.68000030517578,37.599998474121094,21.590383529663086,40.650001525878906,29.0,63.0,34.9900016784668,48.79999923706055,59.5099983215332
2020-01-06,12.232500076293945,13.392000198364258,30.809999465942383,14.463333129882812,8.25,53.61000061035156,27.678436279296875,55.0,21.899999618530273,23.299999237060547,,56.59868240356445,,11.585714340209961,,9.224178314208984,,37.06999969482422,23.479999542236328,11.350000381469727,6.874000072479248,19.020000457763672,7.7179999351501465,40.130001068115234,53.0,33.029998779296875,35.56999969482422,24.899999618530273,19.399999618530273,24.75,18.167499542236328,18.309999465942383,29.030000686645508,48.33000183105469,20.3799991607666,,32.5,17.440000534057617,38.29999923706055,37.779998779296875,21.16538429260254,40.58000183105469,28.489999771118164,62.61000061035156,35.31999969482422,48.33000183105469,58.599998474121094
2020-01-07,12.197500228881836,13.02400016784668,30.690000534057617,14.930000305175781,8.010000228881836,54.0,27.197595596313477,56.81999969482422,22.0,23.18000030517578,,56.56892013549805,,11.429704666137695,,9.562132835388184,,36.209999084472656,23.34000015258789,11.265000343322754,6.908999919891357,19.059999465942383,7.728000164031982,40.779998779296875,52.599998474121094,32.58000183105469,35.15999984741211,25.270000457763672,19.704761505126953,25.299999237060547,18.4950008392334,18.719999313354492,28.989999771118164,48.79999923706055,20.5,,32.599998474121094,17.575000762939453,38.31999969482422,38.75,20.875,41.099998474121094,27.899999618530273,62.900001525878906,34.90999984741211,49.400001525878906,57.599998474121094
2020-01-08,12.572500228881836,12.755999565124512,30.5,14.890000343322754,7.829999923706055,54.0099983215332,26.776859283447266,56.91999816894531,21.6200008392334,23.34000015258789,,56.93599319458008,,11.25727367401123,,9.82719612121582,,35.619998931884766,22.899999618530273,11.212499618530273,6.801000118255615,18.969999313354492,7.570000171661377,40.9900016784668,52.119998931884766,32.04999923706055,36.5099983215332,25.600000381469727,19.78095245361328,25.100000381469727,18.190000534057617,18.59000015258789,28.850000381469727,48.560001373291016,20.329999923706055,,31.59000015258789,16.90999984741211,38.29999923706055,39.310001373291016,21.153846740722656,43.150001525878906,27.950000762939453,62.0,34.689998626708984,49.900001525878906,56.75
2020-01-09,13.020000457763672,12.680000305175781,30.399999618530273,14.883333206176758,7.349999904632568,53.29999923706055,26.348609924316406,57.279998779296875,21.459999084472656,23.6200008392334,,56.499473571777344,,11.035576820373535,,9.747676849365234,,34.90999984741211,23.399999618530273,11.375,7.001999855041504,18.81999969482422,7.28000020980835,42.0,51.060001373291016,32.22999954223633,36.84000015258789,25.93000030517578,19.676189422607422,25.149999618530273,17.9950008392334,18.139999389648438,28.09000015258789,48.81999969482422,20.190000534057617,,31.43000030517578,16.65999984741211,38.189998626708984,39.349998474121094,21.79038429260254,43.040000915527344,28.399999618530273,61.29999923706055,35.31999969482422,49.060001373291016,57.619998931884766
2020-01-10,12.949999809265137,12.40999984741211,30.270000457763672,14.766666412353516,7.400000095367432,53.36000061035156,25.867767333984375,57.5,21.25,23.899999618530273,,56.67804718017578,,10.961677551269531,,9.893461227416992,,34.599998474121094,23.639999389648438,11.420000076293945,7.195000171661377,18.889999389648438,7.443999767303467,42.88999938964844,49.86000061035156,32.099998474121094,36.34000015258789,25.670000076293945,19.94285774230957,25.09000015258789,18.262500762939453,18.170000076293945,28.200000762939453,47.849998474121094,20.110000610351562,,31.649999618530273,17.0,36.400001525878906,40.099998474121094,21.11538314819336,43.11000061035156,28.950000762939453,60.86000061035156,35.9900016784668,50.279998779296875,57.40999984741211
2020-01-13,13.557499885559082,12.477999687194824,30.329999923706055,14.783332824707031,7.429999828338623,55.29999923706055,26.145755767822266,58.29999923706055,21.56999969482422,23.889999389648438,,57.90823745727539,,11.109476089477539,,10.17177677154541,,35.060001373291016,23.43000030517578,11.399999618530273,7.420000076293945,19.209999084472656,7.763999938964844,43.72999954223633,50.41999816894531,32.09000015258789,36.70000076293945,25.950000762939453,20.799999237060547,25.31999969482422,18.729999542236328,18.299999237060547,28.790000915527344,48.0,20.459999084472656,,32.25,17.15999984741211,36.130001068115234,40.20000076293945,21.609615325927734,44.70000076293945,30.0,62.79999923706055,35.86000061035156,51.79999923706055,59.90999984741211
2020-01-14,13.5,12.5,30.0,14.883333206176758,7.489999771118164,55.63999938964844,26.11570167541504,59.189998626708984,22.049999237060547,24.450000762939453,,57.17409133911133,,11.232641220092773,,10.277802467346191,,35.060001373291016,23.399999618530273,11.452500343322754,7.443999767303467,19.100000381469727,8.222000122070312,44.2599983215332,50.150001525878906,31.829999923706055,36.54999923706055,25.799999237060547,20.399999618530273,25.600000381469727,19.327499389648438,18.90999984741211,28.799999237060547,48.20000076293945,20.3700008392334,,32.5,17.5,36.560001373291016,39.5,21.93269157409668,44.25,30.299999237060547,63.0,35.59000015258789,52.939998626708984,61.209999084472656
2020-01-15,13.414999961853027,12.20199966430664,29.549999237060547,14.483332633972168,7.269999980926514,55.459999084472656,25.657400131225586,59.29999923706055,21.700000762939453,24.25,,56.79710006713867,,11.05199909210205,,10.21153736114502,,34.630001068115234,22.850000381469727,11.625,7.464000225067139,18.760000228881836,8.260000228881836,44.58000183105469,49.22999954223633,31.1200008392334,36.470001220703125,24.969999313354492,20.095237731933594,25.3700008392334,19.010000228881836,18.510000228881836,28.440000534057617,48.209999084472656,20.0,,32.0,17.614999771118164,36.599998474121094,39.31999969482422,21.998075485229492,44.939998626708984,31.649999618530273,62.68000030517578,35.849998474121094,52.9900016784668,60.900001525878906
